unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
7208412,HR623380,2001-01-01 00:00:00 UTC,003XX W 105TH PL,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,512,5,34,49,02,1175689.0,1835000.0,2001,2009-11-08 01:05:50 UTC,41.702604761,-87.632285405,"(41.702604761, -87.632285405)"
9754865,HX403519,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
5091512,HM695128,2001-01-01 00:00:00 UTC,057XX S JUSTINE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,false,false,713,7,16,67,06,1167033.0,1866475.0,2001,2006-11-04 05:54:38 UTC,41.789165627,-87.663083724,"(41.789165627, -87.663083724)"
1312432,G003384,2001-01-01 00:00:00 UTC,060XX S RHODES AV,0820,THEFT,$500 AND UNDER,STREET,false,false,313,3,,,06,1180924.0,1864799.0,2001,2015-08-17 15:03:40 UTC,41.784258071,-87.612201911,"(41.784258071, -87.612201911)"
5952122,HN751199,2001-01-01 00:00:00 UTC,027XX W MEDILL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1431,14,1,22,06,1157520.0,1915449.0,2001,2007-12-21 01:04:15 UTC,41.923753771,-87.69663336,"(41.923753771, -87.69663336)"
7028627,HR435596,2001-01-01 00:00:00 UTC,008XX E 99TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,FACTORY/MANUFACTURING BUILDING,false,false,511,5,8,50,06,1183422.0,1839459.0,2001,2009-07-29 01:04:14 UTC,41.714664586,-87.603831072,"(41.714664586, -87.603831072)"
9754953,HX403523,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1329588,G025242,2001-01-01 00:00:00 UTC,061XX S COTTAGE GROVE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,313,3,,,06,1182574.0,1864705.0,2001,2015-08-17 15:03:40 UTC,41.783961993,-87.606155349,"(41.783961993, -87.606155349)"
2743135,HJ380339,2001-01-01 00:00:00 UTC,039XX N MOZART ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,true,false,1733,17,33,16,02,1156711.0,1926359.0,2001,2015-08-17 15:03:40 UTC,41.953708013,-87.699309457,"(41.953708013, -87.699309457)"
9755089,HX403537,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
